id,title,description,availability,condition,price,link,image_link,brand,quantity_to_sell_on_facebook
mdc-9f6d4d7cbc5600d00f1d,"Jarra ""El mejor del mundo"" rellena","Jarra ""El mejor del mundo"" rellena",in stock,new,19.90 EUR,https://www.milesdecolores.com/producto/jarra-el-mejor-del-mundo-rellena,https://images.sumup.com/img_4XVG7HXHC981T9HVPX1MX8DVKH,Miles de Colores,999
mdc-4fc3c0f9bc5911933391,Cajas cumple Stranger,Escribe el nombre y dibujo que deseas en las notas del pedido al finalizar la compra. Nos pondremos en contacto contigo para confirmar el diseño.,in stock,new,2.50 EUR,https://www.milesdecolores.com/producto/cajas-cumple-stranger,https://images.sumup.com/img_3BV66WB7BQ8YJ8BSFADKNEC17W,Miles de Colores,999
mdc-9abc89bdacbbfb6e4447,Botella triatlón doble tapón,Escribe el nombre y dibujo que deseas en las notas del pedido al finalizar la compra. Nos pondremos en contacto contigo para confirmar el diseño.,in stock,new,11.90 EUR,https://www.milesdecolores.com/producto/botella-triatlon-doble-tapon,https://images.sumup.com/img_7DVBSST4F689TVP49HFDV92ECY,Miles de Colores,999
mdc-c60ec6915020b0d2f2b7,Cajas cumple Minecraft,Escribe el nombre y número que deseas en las notas del pedido al finalizar la compra. Nos pondremos en contacto contigo para confirmar el diseño.,in stock,new,2.00 EUR,https://www.milesdecolores.com/producto/cajas-cumple-minecraft,https://images.sumup.com/img_7RKNJ5J5S4848SD5RZZYHEM6XD,Miles de Colores,999
mdc-d70d36de8e6181fd7dda,Pack neceser + jarra + abridor + llavero,Escribe el nombre y dibujo que deseas en las notas del pedido al finalizar la compra. Nos pondremos en contacto contigo para confirmar el diseño.,in stock,new,38.90 EUR,https://www.milesdecolores.com/producto/pack-neceser-jarra-abridor-llavero,https://images.sumup.com/img_0TFZQXEJMP81BTKCW7BEPB3GY1,Miles de Colores,999
mdc-7c4e5ef467b67e565ad1,Cake topper número,Escribe el número que deseas en las notas del pedido al finalizar la compra. Nos pondremos en contacto contigo para confirmar el diseño.,in stock,new,11.90 EUR,https://www.milesdecolores.com/producto/cake-topper-numero,https://images.sumup.com/img_778CJQHZFK8WN93NKG8XQMKP3C,Miles de Colores,999
mdc-8bbae8ca21bd800cd049,Cartera Súper Papá,Cartera Súper Papá,in stock,new,12.90 EUR,https://www.milesdecolores.com/producto/cartera-super-papa,https://images.sumup.com/img_1KC8R246ZY9RMT27G68WN404J3,Miles de Colores,999
mdc-01ee05fb7f2d448c3735,Bola Navidad con nieve,"Una vez añadido al carrito, puedes poner en el apartado ""MENSAJE PARA EL COMERCIANTE"" el nombre para personalizarlo.",in stock,new,5.00 EUR,https://www.milesdecolores.com/producto/bola-navidad-con-nieve,https://images.sumup.com/img_6T2D76WJ118XTB9K4B4YQHH569,Miles de Colores,999
mdc-70f51b16ef6873732ae8,Llavero acero papá,Llavero acero papá,in stock,new,12.90 EUR,https://www.milesdecolores.com/producto/llavero-acero-papa,https://images.sumup.com/img_6SNN150JD48GCRGD7DB3RXSAFF,Miles de Colores,999
mdc-b91f19bb7b5e936ad0ec,Delantal papá,Delantal papá,in stock,new,16.90 EUR,https://www.milesdecolores.com/producto/delantal-papa,https://images.sumup.com/img_3KCB8FQKKC9DYSRKM4QMB8JKPD,Miles de Colores,999
